batch_id	batch_name	cond	cell_nm	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
2	1CDS1_2891	1CDS1	1CDS1_97	0.240215818	0.011377551	0.086642752	0.090346719	0.249777208	114126	0.145570982	0.032873115	1	2.484460764	198	early-S	0.120768723	0.678753056	29738432.17	1.057580359
2	1CDS1_2891	1CDS1	1CDS1_98	0.335422602	0.011876609	0.365301919	0.053751187	0.416737803	5265	0.087196893	0.157321972	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_101	0.336012216	0.010432021	0.14495744	0.062976946	0.2230485	12449	0.112962222	0.148473149	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_102	0.288521949	0.038475865	0.461531523	0.070302984	0.38603449	394904	0.061256065	0.057546735	1	2.105116138	453	early-S	0.101230245	0.76670916	24391668.54	1.259314394
2	1CDS1_2891	1CDS1	1CDS1_103	0.255703992	0.049406313	7.97205785	0.086438741	0.267601618	544212	0.096042006	0.053654362	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_104	0.192271546	0.055969995	0.129616228	0.082724034	0.256961466	616145	0.149269778	0.023077694	1	2.161796626	487	early-S	0.105202735	0.7727724	24333402.86	1.289841164
2	1CDS1_2891	1CDS1	1CDS1_105	0.308799083	0.042536516	0.161865311	0.060108841	0.286256186	450200	0.124894775	0.049344027	1	2.319340867	414	early-S	0.098608565	0.751365547	24691879.33	1.245316039
2	1CDS1_2891	1CDS1	1CDS1_106	0.305977026	0.038357805	0.072055819	0.075492105	0.281646079	429939	0.125298605	0.031953289	1	2.204288574	338	early-S	0.124844253	0.738358784	22716068.26	1.169309052
2	1CDS1_2891	1CDS1	1CDS1_107	0.241552395	0.039531382	0.117542503	0.074709293	0.299872852	423708	0.130922854	0.006666166	1	2.393250202	425	early-S	0.093559822	0.77503866	26445096.47	1.204634362
2	1CDS1_2891	1CDS1	1CDS1_108	0.247113512	0.046884657	0.101640288	0.079416031	0.3094207	530850	0.092514162	0.009666321	1	2.226955306	364	early-S	0.109614912	0.734012265	28073236.34	1.229587185
2	1CDS1_2891	1CDS1	1CDS1_111	0.38611392	0.01110238	0.185870004	0.034691815	0.34432422	14845	0.028911143	-0.014385068	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_112	0.304323067	0.030685194	0.128973287	0.062318453	0.27103163	354935	0.09360457	0.01471287	1	2.499516671	140	G1	0.136338021	0.6193782	28197108.16	1.034573046
2	1CDS1_2891	1CDS1	1CDS1_113	0.287758674	0.026236459	0.123399941	0.050610771	0.389304273	281856	0.110789118	0.0910335	1	2.311422492	129	G1	0.141317839	0.592900226	27657059.53	1.092466323
2	1CDS1_2891	1CDS1	1CDS1_114	0.247551414	0.030373083	0.229953864	0.080305448	0.286482747	370996	0.137498051	-0.004842731	1	2.499374046	171	early-S	0.140088318	0.657377384	27750720.8	1.053880098
2	1CDS1_2891	1CDS1	1CDS1_115	0.316651388	0.035016861	0.269989271	0.063689375	0.35738243	290331	0.122465771	0.035730705	1	2.291804421	521	late-S/G2	0.102491828	0.771212267	23175849.77	1.379976317
2	1CDS1_2891	1CDS1	1CDS1_116	0.288332371	0.036577985	0.183972136	0.050086876	0.308984212	315392	0.160852812	0.033767539	1	2.17457076	668	late-S/G2	0.076405628	0.828528929	23092952.46	1.326740879
2	1CDS1_2891	1CDS1	1CDS1_117	0.263575128	0.024197502	0.582740348	0.08143492	0.38363183	167201	0.094864603	0.091702477	1	2.321519832	479	early-S	0.100554217	0.745500814	26241407.93	1.342497847
2	1CDS1_2891	1CDS1	1CDS1_118	0.324686796	0.020733928	0.549573881	0.03356838	0.455172014	141532	0.081468445	-0.019071187	1	1.962990548	15	G1	0.271295021	0.4185045	17609608.31	1.122927439
2	1CDS1_2891	1CDS1	1CDS1_121	0.319708847	0.009705649	0.727387762	0.058230683	0.375982316	1786	Inf	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_122	0.309994984	0.029963395	0.3660353	0.055885368	0.360769213	271198	0.161533102	0.066451182	1	2.307413383	495	early-S	0.10459643	0.783841415	21494460	1.274228531
2	1CDS1_2891	1CDS1	1CDS1_123	0.302649534	0.022399326	0.787981981	0.03312444	0.409720295	232336	0.073051006	-0.006432611	1	2.083345673	18	G1	0.269658593	0.458395531	15570538.94	1.035391364
2	1CDS1_2891	1CDS1	1CDS1_124	0.286396577	0.023876626	0.135970776	0.070971354	0.284708043	235743	0.114966732	-0.042808371	1	2.461477322	281	early-S	0.108053969	0.713601739	26707511.94	1.132991806
2	1CDS1_2891	1CDS1	1CDS1_125	0.328013891	0.027838815	0.472239717	0.064539007	0.294208654	277768	0.175228395	0.002936976	1	2.396908393	269	early-S	0.131482035	0.704419194	26707064.98	1.135671354
2	1CDS1_2891	1CDS1	1CDS1_126	0.174757282	0	1.479298947	0.116504854	0.196198088	206	NA	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_127	0.361689106	0.012204374	0.268660641	0.069506726	0.360523958	4906	0.044232293	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_128	0.239132514	0.012312714	0.295684468	0.090396406	0.222674465	73233	0.085780766	0.046124468	1	2.326558606	229	early-S	0.127711112	0.680513406	27780529.46	1.12641197
2	1CDS1_2891	1CDS1	1CDS1_131	0.290909526	0.017183034	0.22106737	0.060750347	0.313152838	83588	0.160642164	0.025129557	1	1.95997953	574	late-S/G2	0.097749648	0.80222691	23255191.26	1.346770222
2	1CDS1_2891	1CDS1	1CDS1_132	0.123123123	0.004545455	0.837454804	0.084084084	-0.122803535	333	0.716354345	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_133	0.315954569	0.017663371	0.369677616	0.081018009	0.380226386	113554	0.15895121	0.015941802	1	2.187966388	343	early-S	0.127866856	0.708120376	24887765.27	1.240944931
2	1CDS1_2891	1CDS1	1CDS1_134	0.249936314	0.018897448	0.144176926	0.082749286	0.281097864	149246	0.141330719	-0.002597813	1	2.217727139	503	early-S	0.099479429	0.783684364	22983911.74	1.283976924
